Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
93:Long Term S+HS - Results - 26:Increment 26
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
21	Line 25109	3547	9.665	-180.0	-65.7	-82.0591	111.142	-1.02102E3	0.0	-77.0018	0.793461E-3
22	Line 25110	3550	8.9	-180.0	-65.7	-82.0591	111.142	-1.02102E3	0.0	-77.0018	0.793461E-3
23	Line 25110	3502	8.9	-172.251	-65.7	-87.7099	-27.7639	-590.647	0.0	-80.373	-2.56545E-3
24	Line 25110	3547	9.665	-180.0	-65.7	-82.0591	111.142	-1.02102E3	0.0	-77.0018	0.793461E-3
25	Line 25110	3494	9.665	-172.251	-65.7	-87.7099	-27.7639	-590.647	0.0	-80.373	-2.56545E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	23.6975	132.513	301.954	0.0	35.6576	0.314088E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	23.6975	132.513	301.954	0.0	35.6576	0.314088E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	-3.8709	488.314	715.341	0.0	-42.6309	1.63836E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	-32.3897	229.937	197.973	0.0	-33.0844	21.1242E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	-3.8709	488.314	715.341	0.0	-42.6309	1.63836E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	-32.3897	229.937	197.973	0.0	-33.0844	21.1242E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	-32.3897	229.937	197.973	0.0	-33.0844	21.1242E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	-32.3897	229.937	197.973	0.0	-33.0844	21.1242E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	-25.1373	119.128	84.9432	0.0	-29.5828	89.6122E-6
35	Line 25115	3260	8.9	-26.5207	-65.7	-43.3274	227.478	172.923	0.0	-32.0424	0.201171E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	-43.3274	227.478	172.923	0.0	-32.0424	0.201171E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-25.1373	119.128	84.9432	0.0	-29.5828	89.6122E-6
38	Line 25118	3295	8.9	-24.9197	-65.7	-25.1373	119.128	84.9432	0.0	-29.5828	89.6122E-6
39	Line 25118	3255	9.665	-24.9197	-65.7	-25.1373	119.128	84.9432	0.0	-29.5828	89.6122E-6
40	Line 25118	3309	8.9	-23.1855	-65.7	-32.9054	141.742	97.0004	0.0	-36.3142	0.198786E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-32.9054	141.742	97.0004	0.0	-36.3142	0.198786E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-32.9054	141.742	97.0004	0.0	-36.3142	0.198786E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-32.9054	141.742	97.0004	0.0	-36.3142	0.198786E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-34.9997	132.129	94.5774	0.0	-58.6274	0.379868E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-34.9997	132.129	94.5774	0.0	-58.6274	0.379868E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-34.9997	132.129	94.5774	0.0	-58.6274	0.379868E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-34.9997	132.129	94.5774	0.0	-58.6274	0.379868E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-20.5652	69.8562	56.8292	0.0	-13.764	0.273509E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-20.5652	69.8562	56.8292	0.0	-13.764	0.273509E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-69.2846	-258.219	333.28	0.0	-35.2518	-1.09749E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-55.174	-171.757	161.678	0.0	-24.0907	-0.582329E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-55.174	-171.757	161.678	0.0	-24.0907	-0.582329E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-69.2846	-258.219	333.28	0.0	-35.2518	-1.09749E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-29.5231	-197.785	330.818	0.0	16.7004	-1.93163E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-69.2846	-258.219	333.28	0.0	-35.2518	-1.09749E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-69.2846	-258.219	333.28	0.0	-35.2518	-1.09749E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-29.5231	-197.785	330.818	0.0	16.7004	-1.93163E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-20.5652	69.8562	56.8292	0.0	-13.764	0.273509E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-20.5652	69.8562	56.8292	0.0	-13.764	0.273509E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-47.8776	150.397	128.496	0.0	-14.3141	0.571778E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-47.8776	150.397	128.496	0.0	-14.3141	0.571778E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-47.8776	150.397	128.496	0.0	-14.3141	0.571778E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-47.8776	150.397	128.496	0.0	-14.3141	0.571778E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-101.683	182.472	159.949	0.0	-129.815	0.816754E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-101.683	182.472	159.949	0.0	-129.815	0.816754E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-101.683	182.472	159.949	0.0	-129.815	0.816754E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-101.683	182.472	159.949	0.0	-129.815	0.816754E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-99.7596	33.4649	-307.085	0.0	-124.373	-0.617668E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-99.7596	33.4649	-307.085	0.0	-124.373	-0.617668E-3
70	Line 25134	3784	8.9	26.534	-65.7	-56.8032	-172.925	108.574	0.0	-35.6734	-0.24915E-3
71	Line 25134	3741	8.9	24.2119	-65.7	-47.5604	-149.316	74.6183	0.0	-26.0578	-0.263653E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-47.5604	-149.316	74.6183	0.0	-26.0578	-0.263653E-3
73	Line 25134	3821	9.665	26.534	-65.7	-56.8032	-172.925	108.574	0.0	-35.6734	-0.24915E-3
74	Line 25135	3801	8.9	28.1214	-65.7	-53.8799	-163.655	121.209	0.0	-27.8727	-0.306778E-3
75	Line 25135	3784	8.9	26.534	-65.7	-56.8032	-172.925	108.574	0.0	-35.6734	-0.24915E-3
76	Line 25135	3821	9.665	26.534	-65.7	-56.8032	-172.925	108.574	0.0	-35.6734	-0.24915E-3
77	Line 25135	3850	9.665	28.1214	-65.7	-53.8799	-163.655	121.209	0.0	-27.8727	-0.306778E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-55.174	-171.757	161.678	0.0	-24.0907	-0.582329E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-53.8799	-163.655	121.209	0.0	-27.8727	-0.306778E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-53.8799	-163.655	121.209	0.0	-27.8727	-0.306778E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-55.174	-171.757	161.678	0.0	-24.0907	-0.582329E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-47.5604	-149.316	74.6183	0.0	-26.0578	-0.263653E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-45.2457	-150.091	59.0462	0.0	-15.433	52.7842E-6
84	Line 25139	3760	9.665	23.1855	-65.7	-45.2457	-150.091	59.0462	0.0	-15.433	52.7842E-6
85	Line 25139	3778	9.665	24.2119	-65.7	-47.5604	-149.316	74.6183	0.0	-26.0578	-0.263653E-3
86	Line 25142	3686	8.9	20.819	-65.7	-55.945	-205.366	22.0271	0.0	-64.1779	-0.344085E-3
87	Line 25142	3655	8.9	18.3371	-65.7	-58.8795	-340.39	-337.531	0.0	-19.4	-5.15514E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-58.8795	-340.39	-337.531	0.0	-19.4	-5.15514E-3
89	Line 25142	3713	9.665	20.819	-65.7	-55.945	-205.366	22.0271	0.0	-64.1779	-0.344085E-3
90	Line 25143	3721	8.9	23.1855	-65.7	-45.2457	-150.091	59.0462	0.0	-15.433	52.7842E-6
91	Line 25143	3686	8.9	20.819	-65.7	-55.945	-205.366	22.0271	0.0	-64.1779	-0.344085E-3
92	Line 25143	3713	9.665	20.819	-65.7	-55.945	-205.366	22.0271	0.0	-64.1779	-0.344085E-3
93	Line 25143	3760	9.665	23.1855	-65.7	-45.2457	-150.091	59.0462	0.0	-15.433	52.7842E-6
94	Line 25144	3288	8.9	-155.08	-65.7	-36.237	-122.372	81.1803	0.0	-19.7318	-0.598167E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-36.237	-122.372	81.1803	0.0	-19.7318	-0.598167E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-72.1085	-232.503	168.575	0.0	-17.1245	-0.649233E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-72.1085	-232.503	168.575	0.0	-17.1245	-0.649233E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-67.5381	-232.844	199.57	0.0	-18.4452	0.229551E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-67.5381	-232.844	199.57	0.0	-18.4452	0.229551E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-67.5381	-232.844	199.57	0.0	-18.4452	0.229551E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-135.314	-493.184	741.77	0.0	-20.0322	-1.75544E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-67.5381	-232.844	199.57	0.0	-18.4452	0.229551E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-19.8574	-126.382	346.914	0.0	38.6256	-0.830328E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-135.314	-493.184	741.77	0.0	-20.0322	-1.75544E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-19.8574	-126.382	346.914	0.0	38.6256	-0.830328E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-42.7438	-146.799	94.432	0.0	-32.5254	-0.521516E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-36.237	-122.372	81.1803	0.0	-19.7318	-0.598167E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-42.7438	-146.799	94.432	0.0	-32.5254	-0.521516E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-36.237	-122.372	81.1803	0.0	-19.7318	-0.598167E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-25.6644	-73.5933	52.3084	0.0	-15.2162	-0.555402E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-43.5656	-137.821	92.3474	0.0	-60.7952	-0.535567E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-25.6644	-73.5933	52.3084	0.0	-15.2162	-0.555402E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-43.5656	-137.821	92.3474	0.0	-60.7952	-0.535567E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-43.5656	-137.821	92.3474	0.0	-60.7952	-0.535567E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-42.7438	-146.799	94.432	0.0	-32.5254	-0.521516E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-43.5656	-137.821	92.3474	0.0	-60.7952	-0.535567E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-42.7438	-146.799	94.432	0.0	-32.5254	-0.521516E-3
118	Line 25153	3926	8.9	142.018	-65.7	-31.0121	207.751	312.18	0.0	18.0065	1.53158E-3
119	Line 25153	3868	8.9	147.44	-65.7	-54.7697	265.061	328.906	0.0	-48.6725	1.60023E-3
120	Line 25153	3952	9.665	142.018	-65.7	-31.0121	207.751	312.18	0.0	18.0065	1.53158E-3
121	Line 25153	3908	9.665	147.44	-65.7	-54.7697	265.061	328.906	0.0	-48.6725	1.60023E-3
122	Line 25154	3868	8.9	147.44	-65.7	-54.7697	265.061	328.906	0.0	-48.6725	1.60023E-3
123	Line 25154	3836	8.9	149.628	-65.7	-45.0485	173.842	159.882	0.0	-37.2651	-73.201E-6
124	Line 25154	3908	9.665	147.44	-65.7	-54.7697	265.061	328.906	0.0	-48.6725	1.60023E-3
125	Line 25154	3876	9.665	149.628	-65.7	-45.0485	173.842	159.882	0.0	-37.2651	-73.201E-6
126	Line 25157	3399	8.9	-161.663	-65.7	-59.0806	-158.349	117.394	0.0	-15.1201	-1.07422E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-25.6644	-73.5933	52.3084	0.0	-15.2162	-0.555402E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-59.0806	-158.349	117.394	0.0	-15.1201	-1.07422E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-25.6644	-73.5933	52.3084	0.0	-15.2162	-0.555402E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-111.99	-183.936	99.1421	0.0	-130.152	-0.697665E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-59.0806	-158.349	117.394	0.0	-15.1201	-1.07422E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-111.99	-183.936	99.1421	0.0	-130.152	-0.697665E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-59.0806	-158.349	117.394	0.0	-15.1201	-1.07422E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-87.7099	-27.7639	-590.647	0.0	-80.373	-2.56545E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-111.99	-183.936	99.1421	0.0	-130.152	-0.697665E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-87.7099	-27.7639	-590.647	0.0	-80.373	-2.56545E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-111.99	-183.936	99.1421	0.0	-130.152	-0.697665E-3
138	Line 25164	3783	8.9	153.466	-65.7	-48.718	173.498	123.125	0.0	-48.4899	51.4582E-6
139	Line 25164	3734	8.9	155.788	-65.7	-39.4701	151.06	94.5034	0.0	-33.0466	0.206307E-3
140	Line 25164	3815	9.665	153.466	-65.7	-48.718	173.498	123.125	0.0	-48.4899	51.4582E-6
141	Line 25164	3773	9.665	155.788	-65.7	-39.4701	151.06	94.5034	0.0	-33.0466	0.206307E-3
142	Line 25167	3836	8.9	149.628	-65.7	-45.0485	173.842	159.882	0.0	-37.2651	-73.201E-6
143	Line 25167	3799	8.9	151.879	-65.7	-46.8575	165.06	131.19	0.0	-35.4493	0.17642E-3
144	Line 25167	3876	9.665	149.628	-65.7	-45.0485	173.842	159.882	0.0	-37.2651	-73.201E-6
145	Line 25167	3849	9.665	151.879	-65.7	-46.8575	165.06	131.19	0.0	-35.4493	0.17642E-3
146	Line 25168	3799	8.9	151.879	-65.7	-46.8575	165.06	131.19	0.0	-35.4493	0.17642E-3
147	Line 25168	3783	8.9	153.466	-65.7	-48.718	173.498	123.125	0.0	-48.4899	51.4582E-6
148	Line 25168	3849	9.665	151.879	-65.7	-46.8575	165.06	131.19	0.0	-35.4493	0.17642E-3
149	Line 25168	3815	9.665	153.466	-65.7	-48.718	173.498	123.125	0.0	-48.4899	51.4582E-6
150	Line 25169	3734	8.9	155.788	-65.7	-39.4701	151.06	94.5034	0.0	-33.0466	0.206307E-3
151	Line 25169	3720	8.9	156.815	-65.7	-38.8999	152.765	82.5568	0.0	-24.5821	-97.7018E-6
152	Line 25169	3773	9.665	155.788	-65.7	-39.4701	151.06	94.5034	0.0	-33.0466	0.206307E-3
153	Line 25169	3756	9.665	156.815	-65.7	-38.8999	152.765	82.5568	0.0	-24.5821	-97.7018E-6
154	Line 25170	3720	8.9	156.815	-65.7	-38.8999	152.765	82.5568	0.0	-24.5821	-97.7018E-6
155	Line 25170	3685	8.9	159.181	-65.7	-51.7148	213.044	63.1295	0.0	-84.6527	0.864232E-3
156	Line 25170	3756	9.665	156.815	-65.7	-38.8999	152.765	82.5568	0.0	-24.5821	-97.7018E-6
157	Line 25170	3707	9.665	159.181	-65.7	-51.7148	213.044	63.1295	0.0	-84.6527	0.864232E-3
158	Line 25171	3685	8.9	159.181	-65.7	-51.7148	213.044	63.1295	0.0	-84.6527	0.864232E-3
159	Line 25171	3646	8.9	161.663	-65.7	-79.8693	352.97	-166.24	0.0	-61.6336	-0.340218E-3
160	Line 25171	3707	9.665	159.181	-65.7	-51.7148	213.044	63.1295	0.0	-84.6527	0.864232E-3
161	Line 25171	3668	9.665	161.663	-65.7	-79.8693	352.97	-166.24	0.0	-61.6336	-0.340218E-3
162	Line 25206	2993	8.9	-62.318	-65.7	62.4535	-50.2683	270.386	0.0	40.4012	18.0791E-6
163	Line 25206	2953	9.665	-62.318	-65.7	62.4535	-50.2683	270.386	0.0	40.4012	18.0791E-6
164	Line 25206	3017	8.9	-56.769	-65.7	140.219	-100.059	555.86	0.0	87.963	0.873486E-3
165	Line 25206	2984	9.665	-56.769	-65.7	140.219	-100.059	555.86	0.0	87.963	0.873486E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	208.813	-109.386	526.014	0.0	101.801	1.22205E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	310.031	-89.9631	547.201	0.0	68.5588	-1.2085E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	208.813	-109.386	526.014	0.0	101.801	1.22205E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	310.031	-89.9631	547.201	0.0	68.5588	-1.2085E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	93.7646	39.7694	253.398	0.0	0.916351	-32.0819E-6
171	Line 25206	3079	9.665	-40.1221	-65.7	93.7646	39.7694	253.398	0.0	0.916351	-32.0819E-6
172	Line 25207	3112	8.9	-40.1221	-65.7	93.7646	39.7694	253.398	0.0	0.916351	-32.0819E-6
173	Line 25207	3079	9.665	-40.1221	-65.7	93.7646	39.7694	253.398	0.0	0.916351	-32.0819E-6
174	Line 25207	3131	8.9	-37.9822	-65.7	23.6975	132.513	301.954	0.0	35.6576	0.314088E-3
175	Line 25207	3102	9.665	-37.9822	-65.7	23.6975	132.513	301.954	0.0	35.6576	0.314088E-3
176	Line 25208	3942	8.9	40.1221	-65.7	46.6361	-106.14	241.345	0.0	-25.6041	-0.307547E-3
177	Line 25208	3979	9.665	40.1221	-65.7	46.6361	-106.14	241.345	0.0	-25.6041	-0.307547E-3
178	Line 25208	3987	8.9	45.6711	-65.7	234.909	-130.958	446.334	0.0	-40.8787	-1.15617E-3
179	Line 25208	4012	9.665	45.6711	-65.7	234.909	-130.958	446.334	0.0	-40.8787	-1.15617E-3
180	Line 25208	4015	8.9	51.2201	-65.7	202.304	-137.446	387.789	0.0	-54.3534	-1.0723E-3
181	Line 25208	4042	9.665	51.2201	-65.7	202.304	-137.446	387.789	0.0	-54.3534	-1.0723E-3
182	Line 25208	4059	8.9	62.318	-65.7	108.555	-86.3206	127.83	0.0	-36.0046	11.0223E-6
183	Line 25208	4038	8.9	56.769	-65.7	185.431	-157.244	360.497	0.0	-99.8413	-6.31894E-3
184	Line 25208	4071	9.665	56.769	-65.7	185.431	-157.244	360.497	0.0	-99.8413	-6.31894E-3
185	Line 25208	4104	9.665	62.318	-65.7	108.555	-86.3206	127.83	0.0	-36.0046	11.0223E-6
186	Line 25209	3942	8.9	40.1221	-65.7	46.6361	-106.14	241.345	0.0	-25.6041	-0.307547E-3
187	Line 25209	3927	8.9	37.9822	-65.7	-29.5231	-197.785	330.818	0.0	16.7004	-1.93163E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-29.5231	-197.785	330.818	0.0	16.7004	-1.93163E-3
189	Line 25209	3979	9.665	40.1221	-65.7	46.6361	-106.14	241.345	0.0	-25.6041	-0.307547E-3
190	Line 25210	3111	8.9	-139.878	-65.7	52.6351	-33.8865	290.974	0.0	-1.3979	32.1661E-6
191	Line 25210	3075	9.665	-139.878	-65.7	52.6351	-33.8865	290.974	0.0	-1.3979	32.1661E-6
192	Line 25210	3064	8.9	-134.329	-65.7	236.851	108.389	636.869	0.0	47.8753	-0.308958E-3
193	Line 25210	3040	9.665	-134.329	-65.7	236.851	108.389	636.869	0.0	47.8753	-0.308958E-3
194	Line 25210	3016	8.9	-123.231	-65.7	160.41	104.864	647.763	0.0	-7.30166	-1.17095E-3
195	Line 25210	3036	8.9	-128.78	-65.7	215.714	128.464	631.888	0.0	11.0281	-0.713138E-3
196	Line 25210	3010	9.665	-128.78	-65.7	215.714	128.464	631.888	0.0	11.0281	-0.713138E-3
197	Line 25210	2992	8.9	-117.682	-65.7	61.9827	44.2196	304.736	0.0	3.78949	25.2024E-6
198	Line 25210	2981	9.665	-123.231	-65.7	160.41	104.864	647.763	0.0	-7.30166	-1.17095E-3
199	Line 25210	2947	9.665	-117.682	-65.7	61.9827	44.2196	304.736	0.0	3.78949	25.2024E-6
200	Line 25211	3129	8.9	-142.018	-65.7	-19.8574	-126.382	346.914	0.0	38.6256	-0.830328E-3
201	Line 25211	3111	8.9	-139.878	-65.7	52.6351	-33.8865	290.974	0.0	-1.3979	32.1661E-6
202	Line 25211	3097	9.665	-142.018	-65.7	-19.8574	-126.382	346.914	0.0	38.6256	-0.830328E-3
